ID,7-zip,,paq8,,bsc,,gzip,,zstd,,bzip2,,zpaq,,cmix,,
,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix,
BuEb,0,0,6,5,0,0,0,0,0,0,0,0,0,0,27,14,
AgPh,0,0,11,9,0,0,0,0,0,0,0,0,0,0,53,40,
YeMi,0,0,16,14,0,0,0,0,0,0,0,0,0,0,83,40,
AeCa,0,0,237,147,0,0,1,0,0,0,0,0,0,0,0,0,
HePy,0,0,240,154,0,0,0,0,0,0,0,0,0,0,0,0,
HaHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EsCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PlFa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WaMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ScPo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EnIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DrMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OrSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DaRe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnCa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaGa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HoSa,214,9,26000,22000,56,42,242,2,248,18,17,5,233,0,262500,0,
Total,214,9,"26,510","22,329",56,42,243,2,248,18,17,5,233,0,"2,62,663",94,
