ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix,
BuEb,18940,5544,10343,4660,4696,4886,5122,5784,4744,4828,4722,5225,5210,5774,11495,4680,4709,
AgPh,43970,12283,11062,10671,10788,11012,11284,12925,10948,11111,10853,12066,11418,0,0,10698,10831,
YeMi,73689,19385,36862,16661,16962,17450,17712,20460,17541,17906,17165,19445,18206,0,0,16677,17038,
AeCa,1591049,413954,806345,375151,379821,385978,387262,448626,394166,400368,391067,428414,395163,0,0,0,0,
HePy,1667825,415509,815908,379622,384449,390696,392958,459725,405456,414771,399068,442160,405156,0,0,0,0,
HaHi,3890005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EsCo,4641652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PlFa,8986712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WaMe,9144432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ScPo,10652155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EnIn,26403087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DrMe,32181429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OrSa,43262523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DaRe,62565020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnCa,142189675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaGa,148532294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HoSa,189752667,42297456,83761917,40067480,39321600,41154392,41351482,51572798,45309245,43395647,41972480,48765666,44867481,41493021,82402264,36864000,40960000,
Total,685597124,43164131,85442437,40854245,40118316,41964414,42165820,52520318,46142100,44244631,42795355,49672976,45702634,41498795,82413759,36896055,40992578,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
