ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,0.24,0.11,6,5,0.11,0.1,0.34,0.19,0.29,0.18,0.18,0.11,0.77,0.64,27,15
AgPh,0.37,0.17,11,10,0.22,0.17,0.67,0.27,0.47,0.37,0.37,0.29,0.85,0.71,53,41
YeMi,0.57,0.29,16,15,0.35,0.17,0.88,0.39,0.68,0.59,0.59,0.38,0.98,0.82,83,42
AeCa,0.79,0.35,237,148,0.57,0.39,1,0.56,0.81,0.77,0.77,0.41,4,2,1686,684
HePy,0.86,0.41,240,155,0.68,0.56,3,0.76,1.76,1.59,1.59,0.58,4,3,0,0
HaHi,1,0.49,545,305,1.45,0.87,5,0.86,2,1.78,1.78,0.67,10,4,0,0
EsCo,2,0.57,655,372,1.67,1.23,5,0.96,3,2.09,2.09,0.78,14,5,0,0
PlFa,6,0.73,1263,737,2.29,1.56,2,1.01,8,2.11,2.11,1.08,27,9,0,0
WaMe,6,0.89,1281,730,2.78,2.48,11,1.19,8,2.39,2.39,1.11,28,9,0,0
ScPo,9,0.91,1462,860,3.45,2.78,13,1.22,11,2.52,1,1.23,33,12,0,0
EnIn,24,0.96,0,0,7.87,5,35,1.25,28,2.73,2,1.36,81,25,0,0
DrMe,29,1.47,0,0,11,7,36,1.34,32,3.05,3,1.57,96,31,0,0
OrSa,40,1.73,0,0,13,9,47,1.46,48,3.18,4,2,130,41,0,0
DaRe,69,2.76,0,0,18,13,77,1.87,83,5,6,2.54,196,60,0,0
AnCa,164,6.18,0,0,42,30,177,2,191,10,13,5,206,147,0,0
GaGa,207,7.5,0,0,47,34,191,3,238,11,14,5.67,212,152,0,0
HoSa,214,15,0,0,57,47,242,4,248,19,17,6,233,198,0,0
Total,773.83,40.52,5716,3337,209.44,155.31,846.89,22.33,904.01,68.35,71.87,30.78,1276.6,700.17,1849,782
