ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix,
BuEb,8,32,2040,260,284,72,24,72,1252,292,1252,292,1252,0,0,0,kb
AgPh,390,0,0,24,748,0,16,552,260,260,804,260,0,0,0,0,
YeMi,244,0,484,0,168,0,72,0,848,0,868,0,0,0,0,0,
AeCa,0,0,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,
HePy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HaHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EsCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PlFa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WaMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ScPo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EnIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DrMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OrSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DaRe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnCa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaGa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HoSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,642,32,"4,562",284,"1,200",72,112,624,"2,360",552,"2,924",552,"1,252",0,0,0,
