ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,1008,1536,1620,1944,484,704,484,704,724,1160,340,32,704,,1012,2472
AgPh,0,1512,300,44,496,44,496,496,244,496,244,496,1436,1304,0,1504
YeMi,0,276,560,276,560,220,552,220,16,8,276,48,1304,,1204,948
AeCa,520,235,592,1740,976,,284,,284,,544,,2600,,4984,2360
HePy,,,1920,2028,,,,,,,,,1424,1304,0,0
HaHi,5944,1304,4860,836,1696,1304,292,1304,804,1304,1528,1304,2552,836,0,0
EsCo,1304,1304,25696,2004,5272,1304,1304,1304,1876,1304,1304,1016,4304,2004,0,0
PlFa,10120,1164,2604,0,3592,3008,3592,2088,1988,1092,2360,2216,2604,3228,0,0
WaMe,10020,928,0,3812,3056,2308,3512,2788,3512,1268,1304,2348,3484,3812,0,0
ScPo,14040,3300,20160,4692,4356,4080,3884,2748,3416,1956,2744,2764,2160,4692,0,0
EnIn,32644,5504,0,0,9140,7784,7860,6780,5168,4932,7700,6452,7372,7816,0,0
DrMe,39756,6144,0,0,8656,10484,8436,7688,6324,6560,9864,9096,9420,9016,0,0
OrSa,48708,9064,0,0,11444,10820,13900,10292,8716,9412,11760,10624,10096,9020,0,0
DaRe,74860,13648,0,0,15556,15642,16224,14184,16224,12616,16432,15736,14116,16388,0,0
AnCa,167132,31824,0,0,33356,31316,33356,34480,33356,30012,38424,36820,38424,32180,0,0
GaGa,181268,35484,0,0,36380,38161,41020,35920,37724,35044,39740,36264,38808,38488,0,0
HoSa,226856,39872,0,0,48444,45152,48944,45292,44672,41936,50252,46308,225280,44724,0,0
Total,226856,39872,20160,4692,48444,45152,48944,45292,44672,41936,50252,46308,225280,44724,4984,2360
