ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6
AgPh,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,4
YeMi,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6
AeCa,0,0,6,6,0,0,6,6,0,0,0,0,6,6,6,6
HePy,6,0,6,6,6,0,6,6,0,0,0,0,6,6,0,0
HaHi,10,0,6,6,6,6,6,6,6,0,0,0,6,6,0,0
EsCo,9,0,6,6,6,6,6,0,6,0,0,0,6,6,0,0
PlFa,9,0,6,6,6,6,6,0,6,0,0,0,6,6,0,0
WaMe,8,0,6,6,6,6,6,0,6,0,0,0,6,6,0,0
ScPo,8,0,6,6,6,6,6,0,6,0,6,0,6,6,0,0
EnIn,8,0,0,0,6,6,6,0,6,6,6,0,6,5,0,0
DrMe,8,0,0,0,5,6,6,0,6,6,6,0,6,6,0,0
OrSa,8,10,0,0,6,5,6,0,6,6,6,6,6,6,0,0
DaRe,8,10,0,0,6,6,6,0,5,6,6,6,6,6,0,0
AnCa,8,11,0,0,6,6,6,6,6,6,5,6,16,6,0,0
GaGa,8,10,0,0,6,6,6,6,6,6,6,6,17,6,0,0
HoSa,18,10,0,0,6,6,6,6,6,3,6,6,17,6,0,0
Total,18,11,6,6,6,6,6,6,6,3,6,6,17,6,6,6
