ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix,0
BuEb,8,32,2040,260,284,72,24,72,1252,292,1252,292,1252,0,0,0,kb
AgPh,390,0,0,24,748,0,16,552,260,260,804,260,940,0,0,0,0
YeMi,244,0,484,0,168,0,72,0,848,0,868,0,0,0,0,0,0
AeCa,0,0,2038,0,0,0,0,0,0,0,0,0,0,0,4944,2350,0
HePy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EsCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlFa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScPo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EnIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaRe,63504,15548,0,0,62304,15060,62340,62900,62560,63744,62132,62780,63872,62664,0,0,0
AnCa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GaGa,148876,149064,0,0,149104,149104,149104,149192,149220,149072,149060,148860,148900,149560,0,0,0
HoSa,199078,190144,0,0,196028,190136,0,0,0,0,0,0,198076,194130,0,0,0
Total,199078,190144,18216,4268,196028,190136,44228,42290,44200,40239,48454,44204,198076,190130,4944,2350,0
