ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,0.16,0.1,6,5,0.11,0.1,0.11,0.1,0.1,0.1,0.14,0.1,0.72,0.62,26,14
AgPh,0.21,0.18,11,9,0.2,0.12,0.23,0.18,0.22,0.2,0.27,0.2,0.84,0.7,51,39
YeMi,0.27,0.21,16,14,0.3,0.15,0.28,0.22,0.27,0.2,0.47,0.34,1,0.84,80,41
AeCa,0.41,0.32,235,147,0.5,0.3,0.36,0.31,0.34,0.27,0.67,0.4,4,2,1678,673
HePy,0.47,0.38,238,153,0.6,0.5,0.41,0.37,0.38,0.3,1.01,0.54,6,4,0,0
HaHi,0.51,0.42,541,301,1,0.84,0.46,0.4,0.43,0.37,1.06,0.61,10,4,0,0
EsCo,0.57,0.46,645,364,1.5,1.13,0.51,0.46,0.47,0.38,1.07,0.78,12,6,0,0
PlFa,0.68,0.52,1251,725,2,1.4,0.56,0.51,0.52,0.45,1.11,1.08,22,8,0,0
WaMe,0.75,0.62,1266,715,2.5,2,0.61,0.55,0.55,0.48,1.3,1.11,26,10,0,0
ScPo,0.79,0.65,1443,821,3,2,0.67,0.64,0.57,0.54,1.4,0.92,35,14,0,0
EnIn,0.84,0.69,0,0,7,4,0.71,0.68,0.61,0.6,1.5,0.96,80,26,0,0
DrMe,0.88,0.72,0,0,9,6,0.75,0.73,0.67,0.67,2,1,98,30,0,0
OrSa,0.92,0.81,0,0,9,7,0.84,0.82,0.77,0.78,2.2,1,128,40,0,0
DaRe,1.3,1.01,0,0,11,11,0.9,0.86,0.9,0.84,2.4,1.2,194,64,0,0
AnCa,1.8,1.7,0,0,22,20,1,1,0.9,0.89,6,2,202,141,0,0
GaGa,2,2,0,0,32,31,2,1,2,1,7,3,218,154,0,0
HoSa,5,4,0,0,40,38,3,2,3,2,9,4,228,196,0,0
Total,17.56,14.79,5652,3254,141.71,125.54,13.4,10.83,12.7,10.07,38.6,19.24,1265.56,701.16,1835,767
