ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
humdyst,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6
humprtb,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,5
humhdab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humghcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humhbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtpacga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chmpxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chntxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpomtcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hehcmv,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6
Total ,0,0,18,18,0,0,0,0,0,0,0,0,0,0,18,17
