ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
humdyst,8,456,8,104,324,544,324,512,324,512,324,512,180,740,0,0
humprtb,0,0,48,244,348,316,348,316,348,0,284,0,284,0,0,0
humhdab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humghcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humhbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtpacga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chmpxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chntxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpomtcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hehcmv,0,0,520,0,348,0,348,0,1196,0,1196,0,1196,0,0,0
Total ,8,456,576,348,1020,860,1020,828,1868,512,1804,512,1660,740,0,0
