_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dada1969d4a304aecac4,BuEb,7-zip,standard,1008.0,dna,0.24,0.0,5544.0,18939.0,0.0,8.0,0.16
6815dada1969d4a304aecac5,BuEb,7-zip,proposed,1536.0,dna,0.11,0.0,4864.0,18939.0,0.0,32.0,0.1
6815dada1969d4a304aecac6,BuEb,paq8px,standard,1620.0,dna,6.0,6.0,4660.0,18939.0,6.0,2040.0,6.0
6815dada1969d4a304aecac7,BuEb,paq8px,proposed,1944.0,dna,5.0,6.0,4696.0,18939.0,0.0,260.0,5.0
6815dada1969d4a304aecac8,BuEb,bsc,standard,484.0,dna,0.11,0.0,4886.0,18939.0,0.0,284.0,0.11
6815dada1969d4a304aecac9,BuEb,bsc,proposed,704.0,dna,0.1,0.0,5122.0,18939.0,0.0,72.0,0.1
6815dadb1969d4a304aecaca,BuEb,gzip,standard,484.0,dna,0.34,0.0,5784.0,18939.0,0.0,24.0,0.11
6815dadb1969d4a304aecacb,BuEb,gzip,proposed,704.0,dna,0.19,0.0,4744.0,18939.0,0.0,72.0,0.1
6815dadb1969d4a304aecacc,BuEb,zstd,standard,724.0,dna,0.29,0.0,4828.0,18939.0,0.0,1252.0,0.1
6815dadb1969d4a304aecacd,BuEb,zstd,proposed,1160.0,dna,0.18,0.0,4722.0,18939.0,0.0,292.0,0.1
6815dadb1969d4a304aecace,BuEb,bzip2,standard,340.0,dna,0.18,0.0,5225.0,18939.0,0.0,1252.0,0.14
6815dadb1969d4a304aecacf,BuEb,bzip2,proposed,32.0,dna,0.11,0.0,5210.0,18939.0,0.0,292.0,0.1
6815dadb1969d4a304aecad0,BuEb,zpaq,standard,704.0,dna,0.77,0.0,5774.0,18939.0,0.0,1252.0,0.72
6815dadb1969d4a304aecad1,BuEb,cmix,standard,1012.0,dna,27.0,6.0,4680.0,18939.0,0.0,0.0,26.0
6815dadb1969d4a304aecad2,BuEb,cmix,proposed,2472.0,dna,15.0,6.0,4709.0,18939.0,0.0,0.0,14.0
6815dadb1969d4a304aecad3,AgPh,7-zip,standard,0.0,dna,0.37,0.0,12283.0,43970.0,0.0,390.0,0.21
6815dadb1969d4a304aecad4,AgPh,7-zip,proposed,1512.0,dna,0.17,0.0,11062.0,43970.0,0.0,0.0,0.18
6815dadb1969d4a304aecad5,AgPh,paq8px,standard,300.0,dna,11.0,6.0,10671.0,43970.0,6.0,0.0,11.0
6815dadb1969d4a304aecad6,AgPh,paq8px,proposed,44.0,dna,10.0,0.0,10788.0,43970.0,6.0,24.0,9.0
6815dadb1969d4a304aecad7,AgPh,bsc,standard,496.0,dna,0.22,0.0,11012.0,43970.0,0.0,748.0,0.2
6815dadb1969d4a304aecad8,AgPh,bsc,proposed,44.0,dna,0.17,0.0,11284.0,43970.0,0.0,0.0,0.12
6815dadb1969d4a304aecad9,AgPh,gzip,standard,496.0,dna,0.67,0.0,12925.0,43970.0,0.0,16.0,0.23
6815dadb1969d4a304aecada,AgPh,gzip,proposed,496.0,dna,0.27,0.0,10948.0,43970.0,0.0,552.0,0.18
6815dadb1969d4a304aecadb,AgPh,zstd,standard,244.0,dna,0.47,0.0,11111.0,43970.0,0.0,260.0,0.22
6815dadc1969d4a304aecadc,AgPh,zstd,proposed,496.0,dna,0.37,0.0,10853.0,43970.0,0.0,260.0,0.2
6815dadc1969d4a304aecadd,AgPh,bzip2,standard,244.0,dna,0.37,0.0,12066.0,43970.0,0.0,804.0,0.27
6815dadc1969d4a304aecade,AgPh,bzip2,proposed,496.0,dna,0.29,0.0,11418.0,43970.0,0.0,260.0,0.2
6815dadc1969d4a304aecadf,AgPh,zpaq,standard,1436.0,dna,0.85,0.0,11771.0,43970.0,0.0,940.0,0.84
6815dadc1969d4a304aecae0,AgPh,zpaq,proposed,1304.0,dna,0.71,0.0,11861.0,43970.0,0.0,0.0,0.7
