ID,O.Size,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
BuEb,18939,5544,4864,4660,4696,4886,5122,5784,4744,4828,4722,5225,5210,5774,5721,4680,4709
AgPh,43970,12283,11062,10671,10788,11012,11284,12925,10948,11111,10853,12066,11418,11771,11861,10698,10831
YeMi,73689,19385,17538,16661,16962,17450,17712,20460,17541,17906,17165,19445,18206,17826,18238,16677,17038
AeCa,1591049,413954,392452,375151,379821,385978,387262,448626,394166,400368,391067,428414,395163,380129,385510,371237,374139
HePy,1667825,415509,400459,379622,384449,390696,392958,459725,405456,414771,399068,442160,405156,384418,390579,0,0
HaHi,3890005,985661,940562,888856,900401,923676,924664,1084748,948961,975831,936682,1030924,954575,902850,915768,0,0
EsCo,4641652,1187244,1148230,1091566,1115257,1132710,1131750,1313448,1156295,1151153,1141889,1252048,1155278,1114337,1128139,0,0
PlFa,8986712,2097697,2039639,1933292,1983270,2061006,2062188,2413148,2107476,2099026,2041670,2351428,2157693,1991855,2027399,0,0
WaMe,9144432,23697006,2271067,2216752,2229679,2255964,2252404,2607236,2275712,2286369,2271406,2477927,2287705,2233510,2241711,0,0
ScPo,10652155,2722916,2612122,2540844,2568730,2609144,2602562,3011503,2635346,2818094,2591228,2888891,2661044,2575304,2581159,0,0
EnIn,26403087,5785723,6045333,0,0,6146344,6200142,7392766,6456544,5900121,6065392,7097041,6524803,6127811,6152151,0,0
DrMe,32181429,8016255,7848549,0,0,7759852,7775872,9083059,7989114,7880760,7856857,8683554,8001463,7613540,7706295,0,0
OrSa,43262523,9344839,9709824,0,0,9928736,10071484,12024580,10682337,9798030,9844952,11576628,10674322,9640878,9935455,0,0
DaRe,62565020,12518052,13100716,0,0,13347656,13645028,16775814,14870975,13011150,1333585,16109731,14908063,13179336,13566914,0,0
AnCa,142189675,30084979,30154135,0,0,30283228,30665124,39160614,34622330,31215077,30530145,37245662,34200352,30991984,30441161,0,0
GaGa,148532294,36190714,35290827,0,0,34999806,32962582,41209382,36216541,37881129,35312312,39671913,36392985,34693392,34709309,0,0
HoSa,189752667,42297456,41464516,0,0,41154392,41351542,51572798,45309245,43395647,41972480,48765666,44867481,41493021,40909238,0,0
Total,685597123,175795217,153451895,9458075,9594053,153412536,152459680,188596616,166103731,159261371,142721473,180058723,165620917,153357736,153126608,403292,406717
WACR,0,3.9,4.47,4.3,4.24,4.47,4.5,3.64,4.13,4.3,4.8,3.81,4.14,4.47,4.48,4.28,4.25
